10,Nintendogs,E
20,Pokemon Diamond/Pokemon Pearl,nan
27,Pokemon Black/Pokemon White,nan
31,Call of Duty: Black Ops 3,M
33,Pokemon X/Pokemon Y,nan
46,Pokemon HeartGold/Pokemon SoulSilver,nan
47,Pokemon Omega Ruby/Pokemon Alpha Sapphire,nan
72,Minecraft,E10plus
83,Pokemon Black 2/Pokemon White 2,nan
86,Mario & Sonic at the Olympic Games,nan
87,Star Wars Battlefront (2015),nan
96,Super Smash Bros. for Wii U and 3DS,nan
99,Call of Duty: Black Ops 3,M
108,Pokemon Sun/Moon,nan
122,FIFA 12,nan
180,Minecraft,E10plus
184,Tomodachi Life,E
198,Mario & Sonic at the Olympic Games,nan
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,nan
215,Monster Hunter Freedom 3,nan
216,Super Smash Bros. for Wii U and 3DS,nan
225,The Last of Us,M
237,Mario & Sonic at the Olympic Winter Games,nan
259,The Legend of Zelda: Ocarina of Time,E10plus
261,Minecraft,E10plus
278,FIFA 12,nan
286,FIFA Soccer 07,E
318,Nintendogs + cats,E
328,Mario & Luigi: Bowser's Inside Story,nan
331,Ratchet & Clank: Size Matters,nan
333,Mario & Sonic at the London 2012 Olympic Games,nan
340,Friend Collection,nan
342,Star Wars Battlefront (2015),nan
367,LEGO Star Wars: The Video Game,E
382,Mario & Sonic at the Olympic Winter Games,nan
385,Monster Hunter 4,T
403,English Training: Have Fun Improving Your Skills!,nan
406,Monster Hunter X,nan
412,Yokai Watch 2 Ganso/Honke,nan
416,Gran Turismo (PSP),nan
488,WWE SmackDown! vs. RAW 2006,T
523,Need for Speed: Most Wanted,E10plus
532,Monster Hunter Tri,T
543,Minecraft,E10plus
563,Yokai Watch 2 Shinuchi,nan
584,Pac-Man: Adventures in Time,nan
599,Ratchet & Clank Future: Tools of Destruction,nan
600,Super Mario All-Stars: Limited Edition,nan
603,Ghostbusters: The Video Game (DS Version),nan
617,PES 2009: Pro Evolution Soccer,nan
639,Need for Speed (2015),nan
646,Tomb Raider (2013),nan
694,Yokai Watch Busters,nan
732,Resident Evil 4,M
735,Devil May Cry 3: Dante's Awakening Special Edition,M
745,High School Musical: Makin' the Cut!,E
783,PES 2009: Pro Evolution Soccer,nan
798,Yokai Watch,E10plus
807,Mario & Luigi: Dream Team,nan
818,Kirby's Epic Yarn,E
819,Wipeout: The Game,E10plus
820,Pokemon Mystery Dungeon: Red/Blue Rescue Team,nan
824,Tom Clancy's Splinter Cell: Conviction,M
828,Ghostbusters: The Video Game (DS Version),nan
831,Toy Story 3: The Video Game,nan
838,PGR4 - Project Gotham Racing 4,nan
868,Minecraft,E10plus
910,Tomb Raider (2013),nan
912,Donkey Kong Country Returns,E
920,Medal of Honor: European Assault (All Region sales),nan
924,High School Musical: Sing It!,E
930,Ratchet & Clank Future: A Crack in Time,nan
950,2 Games in 1: Sonic Advance & ChuChu Rocket!,nan
954,GoldenEye 007 (2010),nan
978,The Legend of Zelda: The Wind Waker,E10plus
980,Professor Layton and the Mask of Miracle,nan
990,High School Musical: Sing It!,E
1001,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,nan
1012,The Elder Scrolls Online,M
1018,Kingdom Hearts,E10plus
1036,Call of Duty: World at War Final Fronts,T
1046,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,nan
1049,Call of Duty: Black Ops 3,M
1057,Ben 10: Protector of Earth,E
1062,Call of Duty: Black Ops 3,M
1067,Cooking Mama 3: Shop & Chop,nan
1072,World Championship Poker: Featuring Howard Lederer - All In,T
1079, Fire Emblem Fates,T
1123,NBA Live 06 (All region sales),nan
1136,Tony Hawk's American Wasteland (Old all region sales),nan
1148,Buzz! The Music Quiz,nan
1152,Dollar Dash,E10plus
1187,High School Musical 3: Senior Year,E
1193,Hannah Montana: Music Jam,E
1216,Ratchet & Clank (2016),nan
1236,Final Fantasy XIV: A Realm Reborn,T
1244,Puzzle & Dragons,nan
1245,Call of Duty: Modern Warfare: Reflex Edition,M
1272,Buzz! The BIG Quiz,nan
1275,Doom (2016),nan
1290,LEGO City Undercover,E10plus
1302,Dragon Quest VII: Warriors of Eden,nan
1307,New Play Control! Mario Power Tennis,nan
1324,Tony Hawk's American Wasteland (Weekly american sales),nan
1326,The House of the Dead 2 & 3 Return,nan
1329,Sonic & Sega All-Stars Racing,nan
1339,SNK vs. Capcom: The Match of the Millennium,nan
1350,NBA Live 06 (Weekly american sales),nan
1363,LEGO Star Wars: The Video Game,E
1384,Tomb Raider (2013),nan
1388,Inazuma Eleven 2,nan
1392,Hannah Montana: Spotlight World Tour,E
1398,Toy Story 3: The Video Game,nan
1399,Bravely Default: Flying Fairy,nan
1466,Yokai Watch 3,E10plus
1475,The Elder Scrolls V: Skyrim,M
1492,The ICO & Shadow of the Colossus Collection,nan
1494,MAG: Massive Action Game,nan
1522,High School Musical 3: Senior Year DANCE!,E
1525,Mario & Luigi: Partners in Time,nan
1534,Midnight Club 3: DUB Edition (America weekly sales),nan
1580,Kung Fu Panda,E10plus
1598,Ratatouille,E
1612,Transformers: Autobots / Decepticons,nan
1617,Cars 2,E
1622,Kingdom Hearts II,E10plus
1642,Parfait: Chocolat Second Style,nan
1667,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,nan
1671,World Soccer Winning Eleven 9 (JP & Others sales),nan
1674,FIFA Soccer 07,E
1677,Farming Simulator 2015,E
1708,Mario & Sonic at the London 2012 Olympic Games,nan
1726,Mad Max (2015),nan
1755,LEGO Star Wars: The Video Game,E
1762,Wario Land: Shake It!,E
1763,Football Manager 2013,nan
1769,High School Musical 2: Work This Out!,E
1793,LEGO Star Wars: The Video Game,E
1795,Royal Palace of White Sword and The City of Gentiles,nan
1797,Ratchet & Clank: All 4 One,nan
1815,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),nan
1837,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",nan
1861,Omerta: City of Gangsters,T
1864,SingStar Rocks!,E10plus
1900,Toy Story 3: The Video Game,nan
1903,Final Fantasy XIV: A Realm Reborn,T
1905,Disney Infinity 2.0: Marvel Super Heroes,nan
1922,The Biggest Loser,E
1923,Marvel vs. Capcom 3: Fate of Two Worlds,T
1997,Sonic & Sega All-Stars Racing,nan
2048,Need for Speed: Most Wanted,E10plus
2052,Oshare Majo Love and Berry: DS Collection,nan
2068,PES 2009: Pro Evolution Soccer,nan
2069,Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),nan
2097,Final Fantasy Type-0,M
2109,Rocksmith 2014,T
2123,Disney Tangled,E
2139,Dragon Quest X,T
2148,Dragon Quest Monsters: Terry's Wonderland 3D,nan
2163,Disney Infinity 2.0: Marvel Super Heroes,nan
2165,Scooby-Doo! First Frights,E10plus
2166,Epic Mickey 2: The Power of Two,E
2167,Mega Man Star Force Dragon / Leo / Pegasus,nan
2178,Sonic & Sega All-Stars Racing,nan
2186,Club Penguin: Game Day!,E
2191,Rocksmith 2014,T
2193,Destroy All Humans!,T
2195,MVP Baseball 2005,E
2204,Rise of the Tomb Raider,M
2212,Bentley's Hackpack,E10plus
2231,Inazuma Eleven 3,nan
2263,Buzz! Quiz World,T
2267,EA Sports Grand Slam Tennis,E
